iid,gender,pid,match,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
1,0,11,0,0,27,2,35,20,20,20,0,5,0,13.6363636363636,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,13.6363636363636,7,4,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,12,0,0,22,2,60,0,0,40,0,0,0,15.9090909090909,18.1818181818182,22.7272727272727,15.9090909090909,15.9090909090909,11.3636363636364,8,4,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,13,1,1,22,4,19,18,19,18,14,12,1,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,-1,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,14,1,0,23,2,30,5,15,40,5,5,1,14.2857142857143,16.3265306122449,18.3673469387755,16.3265306122449,18.3673469387755,16.3265306122449,7,7,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,15,1,0,24,3,30,10,20,10,10,20,1,17.3913043478261,15.2173913043478,19.5652173913043,13.0434782608696,19.5652173913043,15.2173913043478,8,6,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,16,0,0,25,2,50,0,30,10,0,10,1,15.9090909090909,15.9090909090909,18.1818181818182,18.1818181818182,15.9090909090909,15.9090909090909,7,6,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,17,0,0,30,2,35,15,25,10,5,10,0,8.33333333333333,16.6666666666667,19.4444444444444,13.8888888888889,22.2222222222222,19.4444444444444,2,1,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,18,0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,15.7894736842105,18.421052631579,13.1578947368421,15.7894736842105,21.0526315789474,15.7894736842105,7,5,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,19,1,0,28,2,50,0,25,10,0,15,1,14.8936170212766,14.8936170212766,17.0212765957447,17.0212765957447,17.0212765957447,19.1489361702128,6.5,8,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
1,0,20,0,0,24,2,100,0,0,0,0,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,6,6,0,21,1,4,2,4,69487,1,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,,,,,
2,0,11,0,1,27,2,35,20,20,20,0,5,0,19.5121951219512,17.0731707317073,14.6341463414634,21.9512195121951,17.0731707317073,9.75609756097561,7,2,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,12,0,1,22,2,60,0,0,40,0,0,0,17.5,15,25,15,15,12.5,8,4,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,13,0,0,22,4,19,18,19,18,14,12,1,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10,10,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,14,1,1,23,2,30,5,15,40,5,5,1,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,9,7,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,15,0,0,24,3,30,10,20,10,10,20,1,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,12.7272727272727,14.5454545454545,10,1,-1,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,16,0,1,25,2,50,0,30,10,0,10,1,17.0731707317073,19.5121951219512,17.0731707317073,12.1951219512195,17.0731707317073,17.0731707317073,7,5,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,17,0,1,30,2,35,15,25,10,5,10,0,21.7391304347826,13.0434782608696,17.3913043478261,13.0434782608696,21.7391304347826,13.0434782608696,4,3,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,18,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,17.5,17.5,17.5,17.5,17.5,12.5,7,6,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,19,1,1,28,2,50,0,25,10,0,15,1,17.0212765957447,12.7659574468085,19.1489361702128,19.1489361702128,17.0212765957447,14.8936170212766,8,8,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
2,0,20,0,1,24,2,100,0,0,0,0,0,0,14.6341463414634,12.1951219512195,17.0731707317073,17.0731707317073,21.9512195121951,17.0731707317073,6,9,0,24,1,2,2,5,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,,,,,
3,0,11,0,1,27,2,35,20,20,20,0,5,0,18.421052631579,21.0526315789474,15.7894736842105,13.1578947368421,21.0526315789474,10.5263157894737,5,2,-1,25,2,2,8,4,,1,3,1,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,,,,,
